Genes	L1_Unhatched	L1_Hatched	L1_3hr	L1_24hr	L2
TMUE_0000000001.1	-0.6985400469059841	1.8469683035106557	0.18631881701283182	-0.9633974478845753	-0.37134962573292357
TMUE_0000000002.1	0.38116794510376867	1.1872884562515988	0.35375212235734593	-0.10306179469991174	-1.8191467290128007
TMUE_0000000002.2	0.6766367287207753	-0.33392315967473385	1.4438296677031033	-0.2808397515305214	-1.5057034852186237
TMUE_0000000002.3	1.821547073661817	-0.8560401438625724	0.25970358974769403	-0.8686767023414951	-0.35653381720544414
TMUE_0000000002.4	1.1741906002267486	0.8080473962933429	0.07060410984680701	-0.372100587922353	-1.6807415184445456
TMUE_0000000003.1	-0.7776997653844783	0.8693462607070108	1.020583264860081	0.43869727144416437	-1.5509270316267778
TMUE_0000000004.1	-1.1213440656319025	0.6456195439474728	1.315233225719255	0.36876864093655926	-1.2082773449713848
TMUE_0000000005.1	-1.5025414155634556	-0.6360073589503288	0.2683200699959579	0.4266900362030491	1.4435386683147768
TMUE_0000000006.1	1.3441684965376	0.8300176802676601	-0.83946633583367	-1.341466532016686	0.006746691045098012
TMUE_0000000007.1	0.7704302541559409	-1.2145152515375992	1.1857526684255033	0.4198446925316154	-1.16151236357544
TMUE_0000000009.1	-0.32673325247928864	0.011719506031752909	1.3476185512099867	0.6115043040024812	-1.6441091087649307
TMUE_0000000012.1	0.7944238864055782	-0.4842687280086485	1.4507273614228504	-0.3908439834178689	-1.3700385364019108
TMUE_0000000013.1	-1.3829220957838948	-1.0469906167787355	0.8873946925129825	0.8554815247723944	0.6870364952772535
TMUE_0000000014.1	-1.3880364834114862	-0.27868912093580583	1.0587536113049751	1.2232011272107735	-0.615229134168457
TMUE_0000000015.1	-0.8500970146727501	-0.005062384629482195	1.3719372492533433	0.8049943429286994	-1.3217721928798105
TMUE_0000000016.1	0.897354807338762	0.6020094786094278	-1.0125631501364682	0.9160318646839671	-1.402833000495691
TMUE_0000000017.1	-0.9129194393026429	0.09937698921017427	1.3764741983367916	0.7441010461910013	-1.3070327944353242
TMUE_0000000018.1	1.107138505217199	0.9104874039431672	-1.5373422818973421	0.24281757622878603	-0.7231012034918134
